Activity,Frequency
Foraging,72
Climbing,23
Running,18
Eating,18
Chasing,17
"Eating, Foraging",8
Sitting,5
"Sitting, shouting",4
"Chasing, Climbing, Eating",4
"Climbing, Foraging",3
"Chasing, Climbing",3
"Running, Foraging",2
Climbing (down),2
Climbing (down tree),2
"Running, up tree",2
"Climbing, Eating",2
"Eating, Digging",2
"Running, Eating",2
"Running, Chasing",2
Chattering,1
"Eating (bread crumbs), Foraging",1
Sleeping (Dead?),1
Hanging,1
Chilling,1
"Foraging, Jumping",1
"Climbing, Sitting in short tree",1
"Climbing, Foraging, Self-cleaning",1
Sticking out of a tree,1
"Running, Eating, Foraging",1
Very carefully watching a cat,1
"Climbing, Eating, Foraging",1
Sitting (in tree hole),1
Nesting,1
Digging,1
"Eating, Digging something",1
"Running, Climbing, Foraging",1
Sitting on branch,1
Sleeping,1
"Foraging, Nesting/gathering leaves",1
"Running, Chasing, Climbing",1
